Type,Details,Product,Date,Before,Change,Balance
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000215),Sportsbook,"Jan 7, 2026, 9:11pm ET",$424.87,#ERROR!,$445.04
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00479016115),Sportsbook,"Jan 7, 2026, 8:30pm ET",$434.87,-$10.00,$424.87
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00478988149) (2 of 2),Sportsbook,"Jan 7, 2026, 7:32pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00478988149) (1 of 2),Sportsbook,"Jan 7, 2026, 7:32pm ET",$444.87,-$10.00,$434.87
Bonus,Sports Profit Boost Token awarded: 10CBBSGPPB0106,Sportsbook,"Jan 7, 2026, 7:22pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000213),Sportsbook,"Jan 4, 2026, 8:55pm ET",$418.97,#ERROR!,$444.87
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00477821564) (2 of 2),Sportsbook,"Jan 4, 2026, 12:57pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00477821564) (1 of 2),Sportsbook,"Jan 4, 2026, 12:57pm ET",$428.97,-$10.00,$418.97
Bonus,Sports Profit Boost Token awarded: 10NFLPARPB0104,Sportsbook,"Jan 4, 2026, 12:51pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jan 3, 2026, 7:03pm ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00477224473),Sportsbook,"Jan 3, 2026, 3:54pm ET",$433.97,-$5.00,$428.97
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00477182725),Sportsbook,"Jan 3, 2026, 2:59pm ET",$443.97,-$10.00,$433.97
Bonus,Sports Profit Boost Token awarded: 10CBBANYPBT0103,Sportsbook,"Jan 3, 2026, 1:49pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000209),Sportsbook,"Jan 2, 2026, 9:25pm ET",$411.94,#ERROR!,$443.97
Bonus,Automated expiry,Sportsbook,"Jan 2, 2026, 7:31pm ET",0,-4,-4
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00476784400) (2 of 2),Sportsbook,"Jan 2, 2026, 6:11pm ET",5,-1,4
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00476784400) (1 of 2),Sportsbook,"Jan 2, 2026, 6:11pm ET",$421.94,-$10.00,$411.94
Bonus,Sports Profit Boost Token awarded: 10NBAHHPB0102,Sportsbook,"Jan 2, 2026, 6:10pm ET",0,5,5
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00476783095) (2 of 2),Sportsbook,"Jan 2, 2026, 6:09pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00476783095) (1 of 2),Sportsbook,"Jan 2, 2026, 6:09pm ET",$431.94,-$10.00,$421.94
Bonus,Sports Profit Boost Token awarded: V1CYORNBA0102,Sportsbook,"Jan 2, 2026, 6:04pm ET",0,1,1
Type,Details,Product,Date,Before,Change,Balance
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00476375629) (2 of 2),Sportsbook,"Jan 1, 2026, 3:10pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00476375629) (1 of 2),Sportsbook,"Jan 1, 2026, 3:10pm ET",$441.94,-$10.00,$431.94
Bonus,Sports Profit Boost Token awarded: 10CFBPBT101,Sportsbook,"Jan 1, 2026, 12:42pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00476146081),Sportsbook,"Dec 31, 2025, 8:25pm ET",$453.94,-$12.00,$441.94
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000205),Sportsbook,"Dec 31, 2025, 7:00pm ET",$432.75,#ERROR!,$453.94
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00476039022) (2 of 2),Sportsbook,"Dec 31, 2025, 6:13pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00476039022) (1 of 2),Sportsbook,"Dec 31, 2025, 6:13pm ET",$442.75,-$10.00,$432.75
Bonus,Sports Profit Boost Token awarded: 10MIAOSPBT1231,Sportsbook,"Dec 31, 2025, 6:10pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00476032893),Sportsbook,"Dec 31, 2025, 6:03pm ET",$453.75,-$11.00,$442.75
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00474208953) (2 of 2),Sportsbook,"Dec 27, 2025, 9:26pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00474208953) (1 of 2),Sportsbook,"Dec 27, 2025, 9:26pm ET",$463.75,-$10.00,$453.75
Bonus,Sports Profit Boost Token awarded: 10NFLPB1227,Sportsbook,"Dec 27, 2025, 7:14pm ET",0,1,1
Wallet transfer,Transfer in from CT to OH,Sportsbook,"Dec 27, 2025, 7:14pm ET",$0.00,#ERROR!,$463.75
Wallet transfer,Transfer out from OH,Sportsbook,"Dec 20, 2025, 2:25pm ET",$523.75,-$523.75,$0.00
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00469034625) (2 of 2),Sportsbook,"Dec 17, 2025, 7:00pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00469034625) (1 of 2),Sportsbook,"Dec 17, 2025, 7:00pm ET",$533.75,-$10.00,$523.75
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00469029673),Sportsbook,"Dec 17, 2025, 6:51pm ET",$543.75,-$10.00,$533.75
Bonus,Sports Profit Boost Token awarded: 10CBBSGPPB1216,Sportsbook,"Dec 17, 2025, 6:50pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Dec 14, 2025, 1:00am ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00467198720),Sportsbook,"Dec 13, 2025, 7:07pm ET",$553.75,-$10.00,$543.75
Bonus,Sports Profit Boost Token awarded: 10CBBANYPB1213,Sportsbook,"Dec 13, 2025, 7:05pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Dec 7, 2025, 3:13am ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00464479657) (2 of 2),Sportsbook,"Dec 6, 2025, 10:43pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00464479657) (1 of 2),Sportsbook,"Dec 6, 2025, 10:43pm ET",$563.75,-$10.00,$553.75
Bonus,Sports Profit Boost Token awarded: 10BMOCPBT1206,Sportsbook,"Dec 6, 2025, 8:58pm ET",1,1,2
Type,Details,Product,Date,Before,Change,Balance
Bonus,Sports Profit Boost Token awarded: 10BWTBPBT1206,Sportsbook,"Dec 6, 2025, 8:58pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000199),Sportsbook,"Dec 4, 2025, 11:38pm ET",$543.74,#ERROR!,$563.75
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00463350150) (2 of 2),Sportsbook,"Dec 4, 2025, 8:19pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00463350150) (1 of 2),Sportsbook,"Dec 4, 2025, 8:19pm ET",$553.74,-$10.00,$543.74
Bonus,Sports Profit Boost Token awarded: 10TNFSGPPB1203,Sportsbook,"Dec 4, 2025, 8:15pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000198),Sportsbook,"Nov 27, 2025, 11:44pm ET",$534.48,#ERROR!,$553.74
Bonus,Automated expiry,Sportsbook,"Nov 24, 2025, 3:08am ET",0,-1,-1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000196),Sportsbook,"Nov 22, 2025, 11:34pm ET",$492.23,#ERROR!,$534.48
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000197),Sportsbook,"Nov 22, 2025, 7:31pm ET",$467.48,#ERROR!,$492.23
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00453477001),Sportsbook,"Nov 22, 2025, 12:00pm ET",$477.48,-$10.00,$467.48
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00453475084) (2 of 2),Sportsbook,"Nov 22, 2025, 11:59am ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00453475084) (1 of 2),Sportsbook,"Nov 22, 2025, 11:59am ET",$487.48,-$10.00,$477.48
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00453468075) (2 of 2),Sportsbook,"Nov 22, 2025, 11:53am ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00453468075) (1 of 2),Sportsbook,"Nov 22, 2025, 11:53am ET",$497.48,-$10.00,$487.48
Bonus,Sports Profit Boost Token awarded: 10CFBBWBPB1120,Sportsbook,"Nov 22, 2025, 10:23am ET",2,1,3
Bonus,Sports Profit Boost Token awarded: 10BMOCPB1122,Sportsbook,"Nov 22, 2025, 10:23am ET",1,1,2
Bonus,Sports Profit Boost Token awarded: 10CBBANYPB1122,Sportsbook,"Nov 22, 2025, 10:23am ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00453241099),Sportsbook,"Nov 21, 2025, 10:29pm ET",$509.48,-$12.00,$497.48
Bonus,Automated expiry,Sportsbook,"Nov 20, 2025, 3:11am ET",0,-1,-1
Bonus,Sports Profit Boost Token awarded: SBW11192025A,Sportsbook,"Nov 18, 2025, 7:04pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Nov 17, 2025, 12:20am ET",0,-1,-1
Bonus,Automated expiry,Sportsbook,"Nov 17, 2025, 12:13am ET",0,-1,-1
Bonus,Sports Profit Boost Token awarded: 10NFLLIVPB1116,Sportsbook,"Nov 16, 2025, 6:33pm ET",1,1,2
Bonus,Sports Profit Boost Token awarded: 10NFLLPBT1116,Sportsbook,"Nov 16, 2025, 6:33pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000194),Sportsbook,"Nov 15, 2025, 11:08pm ET",$474.17,#ERROR!,$509.48
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00450123792),Sportsbook,"Nov 15, 2025, 9:37pm ET",$489.17,-$15.00,$474.17
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00449984057) (2 of 2),Sportsbook,"Nov 15, 2025, 6:51pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00449984057) (1 of 2),Sportsbook,"Nov 15, 2025, 6:51pm ET",$499.17,-$10.00,$489.17
Bonus,Sports Profit Boost Token awarded: 10NBAPARPB1115,Sportsbook,"Nov 15, 2025, 6:27pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00449927311) (2 of 2),Sportsbook,"Nov 15, 2025, 5:38pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00449927311) (1 of 2),Sportsbook,"Nov 15, 2025, 5:38pm ET",$509.17,-$10.00,$499.17
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00449768966) (2 of 2),Sportsbook,"Nov 15, 2025, 1:55pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00449768966) (1 of 2),Sportsbook,"Nov 15, 2025, 1:55pm ET",$519.17,-$10.00,$509.17
Bonus,Sports Profit Boost Token awarded: 10CFBPBT1115,Sportsbook,"Nov 15, 2025, 1:41pm ET",1,1,2
Bonus,Sports Profit Boost Token awarded: 10CFBBWBPB1113,Sportsbook,"Nov 15, 2025, 1:40pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00447812161),Sportsbook,"Nov 10, 2025, 9:10pm ET",$529.17,-$10.00,$519.17
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00446936254) (2 of 2),Sportsbook,"Nov 9, 2025, 2:12pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00446936254) (1 of 2),Sportsbook,"Nov 9, 2025, 2:12pm ET",$539.17,-$10.00,$529.17
Bonus,Sports Profit Boost Token awarded: 10NFLPARPB1109,Sportsbook,"Nov 9, 2025, 8:26am ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000187),Sportsbook,"Nov 8, 2025, 11:03pm ET",$493.29,#ERROR!,$539.17
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000188),Sportsbook,"Nov 8, 2025, 3:38pm ET",$472.49,#ERROR!,$493.29
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00446017061),Sportsbook,"Nov 8, 2025, 3:03pm ET",$482.49,-$10.00,$472.49
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00445922868) (2 of 2),Sportsbook,"Nov 8, 2025, 12:06pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00445922868) (1 of 2),Sportsbook,"Nov 8, 2025, 12:06pm ET",$492.49,-$10.00,$482.49
Bonus,Sports Profit Boost Token awarded: 10BWTBPB1106,Sportsbook,"Nov 8, 2025, 10:37am ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00445195575) (2 of 2),Sportsbook,"Nov 6, 2025, 9:22pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00445195575) (1 of 2),Sportsbook,"Nov 6, 2025, 9:22pm ET",$502.49,-$10.00,$492.49
Bonus,Sports Profit Boost Token awarded: 10TNFLIVPB1105,Sportsbook,"Nov 6, 2025, 6:51pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Nov 6, 2025, 2:07am ET",0,-1,-1
Bonus,Automated expiry,Sportsbook,"Nov 4, 2025, 12:02am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10ANYCBBPB1103,Sportsbook,"Nov 3, 2025, 7:42pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10NFLLIVPB1103,Sportsbook,"Nov 3, 2025, 7:41pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000184),Sportsbook,"Nov 1, 2025, 10:29pm ET",$468.17,#ERROR!,$502.49
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00442240582),Sportsbook,"Nov 1, 2025, 8:16pm ET",$478.17,-$10.00,$468.17
Bonus,Automated expiry,Sportsbook,"Nov 1, 2025, 4:02pm ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00441856152) (2 of 2),Sportsbook,"Nov 1, 2025, 12:12pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00441856152) (1 of 2),Sportsbook,"Nov 1, 2025, 12:12pm ET",$488.17,-$10.00,$478.17
Bonus,Sports Profit Boost Awarded: 10BWTBPB1101,Sportsbook,"Nov 1, 2025, 12:06pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BMOCPBT1101,Sportsbook,"Nov 1, 2025, 12:06pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00440967744) (2 of 2),Sportsbook,"Oct 30, 2025, 8:09pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00440967744) (1 of 2),Sportsbook,"Oct 30, 2025, 8:09pm ET",$498.17,-$10.00,$488.17
Bonus,Sports Profit Boost Awarded: 10TNFANYPB1030,Sportsbook,"Oct 30, 2025, 8:04pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 28, 2025, 12:01am ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10NFLLIVPB1027,Sportsbook,"Oct 27, 2025, 2:02pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 27, 2025, 12:10am ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00436731895) (2 of 2),Sportsbook,"Oct 26, 2025, 1:31pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00436731895) (1 of 2),Sportsbook,"Oct 26, 2025, 1:31pm ET",$508.17,-$10.00,$498.17
Bonus,Sports Profit Boost Awarded: 10SNFLIVPB1026,Sportsbook,"Oct 26, 2025, 1:26pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10NFLPBT1026,Sportsbook,"Oct 26, 2025, 1:26pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 26, 2025, 12:03am ET",0,-1,-1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000181),Sportsbook,"Oct 25, 2025, 11:24pm ET",$477.59,#ERROR!,$508.17
Bonus,Automated expiry,Sportsbook,"Oct 25, 2025, 4:04pm ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10CFBANYPB1025,Sportsbook,"Oct 25, 2025, 12:18pm ET",1,1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00435656127) (2 of 2),Sportsbook,"Oct 25, 2025, 12:18pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00435656127) (1 of 2),Sportsbook,"Oct 25, 2025, 12:18pm ET",$487.59,-$10.00,$477.59
Bonus,Sports Profit Boost Awarded: 10BMOCPBT1023,Sportsbook,"Oct 25, 2025, 11:25am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BWTBPBT1023,Sportsbook,"Oct 25, 2025, 11:25am ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000180),Sportsbook,"Oct 23, 2025, 11:19pm ET",$448.15,#ERROR!,$487.59
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00434645612) (2 of 2),Sportsbook,"Oct 23, 2025, 8:50pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00434645612) (1 of 2),Sportsbook,"Oct 23, 2025, 8:50pm ET",$458.15,-$10.00,$448.15
Bonus,Sports Profit Boost Awarded: 10TNFANYPB1023,Sportsbook,"Oct 23, 2025, 8:45pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 21, 2025, 2:09am ET",0,-2,-2
Bonus,Sports Profit Boost Awarded: 10NFLCYR1020,Sportsbook,"Oct 20, 2025, 8:08pm ET",0,2,2
Bonus,Automated expiry,Sportsbook,"Oct 20, 2025, 12:04am ET",0,-1,-1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000179),Sportsbook,"Oct 19, 2025, 11:19pm ET",$422.24,#ERROR!,$458.15
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00432492352) (2 of 2),Sportsbook,"Oct 19, 2025, 9:13pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00432492352) (1 of 2),Sportsbook,"Oct 19, 2025, 9:13pm ET",$432.24,-$10.00,$422.24
Bonus,Automated expiry,Sportsbook,"Oct 19, 2025, 5:00pm ET",2,-1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000178),Sportsbook,"Oct 19, 2025, 4:09pm ET",$408.78,#ERROR!,$432.24
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00432022207) (2 of 2),Sportsbook,"Oct 19, 2025, 3:15pm ET",4,-1,3
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00432022207) (1 of 2),Sportsbook,"Oct 19, 2025, 3:15pm ET",$418.78,-$10.00,$408.78
Bonus,Sports Profit Boost Awarded: 10SNFLIVPB1019,Sportsbook,"Oct 19, 2025, 3:04pm ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10NFLPHPB1019,Sportsbook,"Oct 19, 2025, 3:03pm ET",1,2,3
Bonus,Sports Profit Boost Awarded: 10NFLANYPB1019,Sportsbook,"Oct 19, 2025, 8:29am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 19, 2025, 12:03am ET",0,-1,-1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000177),Sportsbook,"Oct 18, 2025, 11:12pm ET",$400.16,#ERROR!,$418.78
Bonus,Automated expiry,Sportsbook,"Oct 18, 2025, 7:31pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00431124563) (2 of 2),Sportsbook,"Oct 18, 2025, 6:54pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00431124563) (1 of 2),Sportsbook,"Oct 18, 2025, 6:54pm ET",$410.16,-$10.00,$400.16
Bonus,Sports Profit Boost Awarded: 10CFBANYPB1018,Sportsbook,"Oct 18, 2025, 6:52pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10BMOCPBT1016,Sportsbook,"Oct 18, 2025, 6:51pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BWTBPBT1016,Sportsbook,"Oct 18, 2025, 6:51pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000174),Sportsbook,"Oct 5, 2025, 4:08pm ET",$379.14,#ERROR!,$410.16
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00423662020),Sportsbook,"Oct 5, 2025, 2:57pm ET",$389.14,-$10.00,$379.14
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00423653268) (2 of 2),Sportsbook,"Oct 5, 2025, 2:48pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00423653268) (1 of 2),Sportsbook,"Oct 5, 2025, 2:48pm ET",$399.14,-$10.00,$389.14
Bonus,Sports Profit Boost Awarded: 10SNFSGPPB1005,Sportsbook,"Oct 5, 2025, 2:41pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 5, 2025, 1:05pm ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00423297029) (2 of 2),Sportsbook,"Oct 5, 2025, 10:52am ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00423297029) (1 of 2),Sportsbook,"Oct 5, 2025, 10:52am ET",$409.14,-$10.00,$399.14
Bonus,Sports Profit Boost Awarded: 10KAATDPB1003,Sportsbook,"Oct 5, 2025, 9:49am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10NFLANYPB1005,Sportsbook,"Oct 5, 2025, 9:49am ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000173),Sportsbook,"Oct 4, 2025, 10:53pm ET",$386.39,#ERROR!,$409.14
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00422586244) (2 of 2),Sportsbook,"Oct 4, 2025, 2:42pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00422586244) (1 of 2),Sportsbook,"Oct 4, 2025, 2:42pm ET",$396.39,-$10.00,$386.39
Bonus,Sports Profit Boost Awarded: 10BWTBPBT1004,Sportsbook,"Oct 4, 2025, 12:12pm ET",0,1,1
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Oct 4, 2025, 12:12pm ET",$0.00,#ERROR!,$396.39
Wallet transfer,Transfer out from OH,Sportsbook,"Sep 30, 2025, 8:44pm ET",$396.39,-$396.39,$0.00
Bonus,Automated expiry,Sportsbook,"Sep 29, 2025, 12:06am ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10NFLPBT0928,Sportsbook,"Sep 28, 2025, 11:19am ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00418906283) (2 of 2),Sportsbook,"Sep 27, 2025, 4:47pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00418906283) (1 of 2),Sportsbook,"Sep 27, 2025, 4:47pm ET",$406.39,-$10.00,$396.39
Bonus,Sports Profit Boost Awarded: 10BWTBPBT0927,Sportsbook,"Sep 27, 2025, 3:44pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 23, 2025, 12:04am ET",0,-1,-1
Bonus,Sports Profit Boost Awarded: 10NFLMNFPB0922,Sportsbook,"Sep 22, 2025, 8:51pm ET",0,1,1
